#Distance_(pixels),Gray_Value
910,74.0667
911,72.5026
912,72.4769
913,72.4897
914,71.5410
915,71.3205
916,70.5769
917,69.3795
918,69.8872
919,69.9641
920,69.9436
921,68.7308
922,67.5667
923,66.8615
924,66.2282
925,65.7231
926,65.6974
927,64.3795
928,62.8692
929,61.9615
930,61.7718
931,61.9051
932,61.4487
933,60.8872
934,61.2949
935,61.3103
936,61.0897
937,60.7897
938,60.2154
939,59.2692
940,59.4308
941,58.7026
942,58.2538
943,57.7897
944,57.5231
945,57.3000
946,57.2256
947,56.1872
948,55.3359
949,54.2667
950,53.4718
951,51.9718
952,51.3564
953,51.3077
954,50.7821
955,50.8051
956,50.3308
957,50.4487
958,50.8692
959,50.5615
960,50.4821
961,49.7923
962,49.8385
963,49.1872
964,48.6872
965,47.9231
966,47.0744
967,47.0462
968,48.1769
969,47.7590
970,47.8256
971,48.2769
972,48.7000
973,48.1667
974,47.9718
975,48.5872
976,49.8359
977,50.7308
978,51.2410
979,51.6256
980,51.8795
981,51.3385
982,50.5718
983,49.2897
984,49.2487
985,49.6128
986,49.9000
987,49.3615
988,48.8923
989,47.3538
990,45.5641
991,44.9231
992,44.5385
993,43.6487
994,43.8846
995,43.4821
996,43.3000
997,42.2795
998,42.3872
999,41.3462
1000,40.2154
1001,38.7359
1002,38.8744
1003,39.0436
1004,38.7718
1005,38.0872
1006,37.7667
1007,37.4744
1008,36.8744
1009,36.3154
1010,36.1256
1011,35.7000
1012,36.0026
1013,35.1385
1014,34.2000
1015,33.6103
1016,33.1718
1017,32.7667
1018,32.8256
1019,32.7256
1020,32.9205
1021,32.9179
1022,33.1282
1023,33.6000
1024,34.7000
1025,35.4026
1026,35.5846
1027,35.2256
1028,34.7462
1029,34.1359
1030,33.5513
1031,33.4821
1032,33.3872
1033,33.1333
1034,32.6538
1035,32.0692
1036,31.9205
1037,31.3359
1038,31.1231
1039,31.2923
1040,31.0385
1041,30.3795
1042,30.0385
1043,29.5154
1044,29.9821
1045,30.3949
1046,30.4436
1047,30.0410
1048,30.1077
1049,29.9538
1050,29.2410
1051,29.0205
1052,28.8256
1053,28.8615
1054,28.7026
1055,28.2308
1056,28.1410
1057,27.8590
1058,27.5846
1059,27.1051
1060,26.8410
1061,26.5385
1062,26.8231
1063,27.0974
1064,27.6795
1065,28.2000
1066,28.3513
1067,28.3128
1068,28.8692
1069,28.4436
1070,28.2872
1071,29.2667
1072,29.7282
1073,29.3718
1074,29.5744
1075,29.6026
1076,29.7103
1077,29.6333
1078,30.0641
1079,30.0385
1080,29.9308
1081,29.9308
1082,30.1462
1083,29.1308
1084,28.2615
1085,28.0923
1086,28.5974
1087,28.3436
1088,28.3538
1089,28.6590
1090,29.3795
1091,28.9205
1092,28.4564
1093,28.0205
1094,28.0590
1095,28.7103
1096,29.2744
1097,29.5436
1098,29.3949
1099,29.6051
1100,30.4308
1101,30.8205
1102,30.6154
1103,30.8128
1104,31.2718
1105,31.2026
