#Distance_(pixels),Gray_Value
871,82.9612
872,78.9225
873,75.6342
874,72.4592
875,69.1034
876,66.1581
877,63.6630
878,61.9404
879,60.1749
880,58.8300
881,58.0507
882,57.1799
883,57.0099
884,58.0338
885,59.8549
886,61.4821
887,63.5358
888,65.2127
889,67.6501
890,70.4145
891,73.5845
892,76.6431
893,79.9990
894,83.1034
895,86.5596
896,90.2416
897,94.7376
898,98.7445
899,101.5288
900,103.9891
901,106.7972
902,109.3270
903,111.4036
904,112.5248
905,113.5666
906,114.5169
907,115.0606
908,116.3241
909,117.5427
910,117.4235
911,117.6392
912,117.9026
913,116.2823
914,113.3738
915,110.6054
916,108.4294
917,105.4195
918,102.7813
919,100.4841
920,97.7535
921,93.9801
922,89.3499
923,85.7078
924,82.7326
925,79.2187
926,75.5885
927,72.1014
928,68.5248
929,65.2604
930,62.4861
931,60.4503
932,58.7744
933,57.3400
934,56.1749
935,55.2087
936,54.3996
937,54.2505
938,54.8857
939,56.1372
940,57.8648
941,59.5527
942,61.0229
943,63.2147
944,66.6044
945,70.1938
946,73.0915
947,75.0974
948,77.5954
949,80.9513
950,84.1998
951,86.9702
952,90.5109
953,93.6779
954,96.6670
955,99.4334
956,102.3400
957,104.7326
958,106.6978
959,107.2893
960,107.5239
961,108.2773
962,108.8300
963,108.9046
964,108.4573
965,107.3111
966,105.6571
967,103.8887
968,103.3032
969,102.6948
970,100.5497
971,97.1084
972,93.7584
973,90.8449
974,87.2475
975,82.3897
976,78.7008
977,76.0258
978,73.8797
979,71.2306
980,68.2356
981,64.6541
982,61.5835
983,59.4712
984,57.9453
985,56.6392
986,55.2962
987,54.4652
988,54.4592
989,54.6749
990,55.2435
991,56.1879
992,57.8280
993,59.4583
994,60.8062
995,62.2435
996,64.2107
997,66.2942
998,68.5437
999,71.5666
1000,74.8817
1001,78.6610
1002,82.8996
1003,86.9115
1004,90.1869
1005,93.9105
1006,97.0686
1007,100.1431
1008,102.9483
1009,104.6700
1010,106.6889
1011,108.5716
1012,109.5825
1013,109.9543
1014,110.2813
1015,110.9712
1016,112.1869
1017,113.6392
1018,113.7346
1019,112.1948
1020,110.3588
1021,107.4602
1022,104.8410
1023,101.8300
1024,99.0845
1025,96.6034
1026,93.8668
1027,90.7028
1028,87.5736
1029,85.0696
1030,82.8300
1031,79.4980
1032,75.8171
1033,72.6233
1034,70.5775
1035,68.6600
1036,65.7674
1037,62.7366
1038,60.2724
1039,58.0179
1040,56.0278
1041,54.3598
1042,53.7356
1043,53.7087
1044,53.7823
1045,54.3082
1046,55.4642
1047,56.4901
1048,57.4304
1049,58.9712
1050,60.7038
1051,62.6789
1052,64.8171
1053,67.7724
1054,70.8111
1055,73.7296
1056,76.5378
1057,79.2744
1058,81.9513
