Tiempo [s], Recorrido [m], Posición [m], Velocidad [m/s], Aceleración [m/s^2]
12.9485580,-0.0230000,0.0000000,0.2524353,0.4337961
12.9985510,-0.0100000,0.0000000,0.2671709,0.1491094
13.0495620,0.0040000,0.0000000,0.2671964,-0.3752177
13.0995450,0.0170000,0.0000000,0.2300408,-0.8720102
13.1495500,0.0270000,0.0000000,0.1800002,-1.1040427
13.1995420,0.0350000,0.0000000,0.1196426,-1.3980671
13.2505230,0.0390000,0.0000000,0.0384522,-1.5928788
13.2995210,0.0390000,0.0000000,-0.0396106,-1.6004535
13.3495080,0.0350000,0.0000000,-0.1199832,-1.4042177
13.3995190,0.0270000,0.0000000,-0.1800198,-1.1007893
13.4495030,0.0170000,0.0000000,-0.2300620,-0.8001720
13.4994910,0.0040000,0.0000000,-0.2600130,-0.2995608
13.5494980,-0.0090000,0.0000000,-0.2600052,0.1001510
13.5994890,-0.0220000,0.0000000,-0.2500013,0.5000079
13.6494990,-0.0340000,0.0000000,-0.2099925,0.9996909
13.6994860,-0.0430000,0.0000000,-0.1500444,1.3000492
13.7494670,-0.0490000,0.0000000,-0.0800304,1.4007193
13.7994600,-0.0510000,0.0000000,-0.0100089,1.5003852
13.8494680,-0.0500000,0.0000000,0.0700126,1.5799834
13.8994620,-0.0440000,0.0000000,0.1479932,1.2011605
13.9504460,-0.0350000,0.0000000,0.1905863,0.7626549
13.9994420,-0.0250000,0.0000000,0.2245271,0.7022411
14.0484310,-0.0130000,0.0000000,0.2593952,0.3198532
14.0994450,0.0010000,0.0000000,0.2548934,-0.3919958
14.1504300,0.0130000,0.0000000,0.2194297,-0.8413265
14.1994210,0.0230000,0.0000000,0.1713508,-1.0006235
14.2504290,0.0300000,0.0000000,0.1192891,-1.2054084
14.2994230,0.0350000,0.0000000,0.0515370,-1.4128908
14.3494070,0.0350000,0.0000000,-0.0206161,-1.4097236
14.3983990,0.0330000,0.0000000,-0.0880582,-1.4022835
14.4494060,0.0260000,0.0000000,-0.1609487,-1.2000885
14.4983930,0.0170000,0.0000000,-0.2089664,-0.7528683
14.5494020,0.0050000,0.0000000,-0.2352941,-0.2818881
14.6003930,-0.0070000,0.0000000,-0.2377274,0.0318014
14.6503780,-0.0190000,0.0000000,-0.2322414,0.3609642
14.6993610,-0.0300000,0.0000000,-0.2025019,0.8262990
14.7493680,-0.0390000,0.0000000,-0.1499925,1.2248789
14.7993600,-0.0450000,0.0000000,-0.0800205,1.2951285
14.8503460,-0.0470000,0.0000000,-0.0194229,1.3051777
14.9003520,-0.0470000,0.0000000,0.0515656,1.4170307
14.9493350,-0.0420000,0.0000000,0.1208527,1.2009895
14.9993290,-0.0350000,0.0000000,0.1699997,0.8916658
15.0493320,-0.0250000,0.0000000,0.2100150,0.4999611
15.0993230,-0.0140000,0.0000000,0.2200000,0.2002363
15.1493320,-0.0030000,0.0000000,0.2300387,-0.0996748
15.1993090,0.0090000,0.0000000,0.2100531,-0.6879547
15.2493150,0.0180000,0.0000000,0.1612382,-0.8987766
15.2983080,0.0250000,0.0000000,0.1209199,-1.0163120
15.3492920,0.0300000,0.0000000,0.0588447,-1.1935291
15.4002900,0.0310000,0.0000000,-0.0007979,-1.2903545
15.4492940,0.0300000,0.0000000,-0.0697208,-1.4061714
15.4992830,0.0240000,0.0000000,-0.1399984,-1.1030669
15.5492900,0.0160000,0.0000000,-0.1800122,-0.7005612
15.5992800,0.0060000,0.0000000,-0.2100558,-0.4231743
15.6492640,-0.0050000,0.0000000,-0.2223208,-0.0003744
15.6982560,-0.0160000,0.0000000,-0.2105741,0.3395426
15.7492640,-0.0260000,0.0000000,-0.1879559,0.6025902
15.7992570,-0.0350000,0.0000000,-0.1500318,1.0795313
15.8492380,-0.0410000,0.0000000,-0.0800386,1.2956363
15.9002440,-0.0430000,0.0000000,-0.0194063,1.0967149
15.9502240,-0.0430000,0.0000000,0.0309012,1.1104928
15.9992390,-0.0400000,0.0000000,0.0903282,1.1228194
16.0492270,-0.0340000,0.0000000,0.1418876,0.8966910
16.0982140,-0.0260000,0.0000000,0.1793453,0.5697900
16.1492230,-0.0160000,0.0000000,0.1980600,0.2801746
16.1992140,-0.0060000,0.0000000,0.2078177,0.0167859
16.2501980,0.0050000,0.0000000,0.1993972,-0.4695100
16.2991970,0.0140000,0.0000000,0.1620594,-0.8949931
16.3491970,0.0210000,0.0000000,0.1105248,-1.0221285
16.3981910,0.0250000,0.0000000,0.0608578,-1.0123205
16.4491730,0.0270000,0.0000000,0.0093228,-1.0995000
16.4991650,0.0260000,0.0000000,-0.0499893,-1.2108042
16.5491740,0.0220000,0.0000000,-0.1117597,-1.1021629
16.5981640,0.0150000,0.0000000,-0.1593707,-0.6773617
16.6491480,0.0060000,0.0000000,-0.1782799,-0.3017669
16.6991480,-0.0030000,0.0000000,-0.1899790,-0.2171027
16.7491580,-0.0130000,0.0000000,-0.1999920,0.0995259
16.7991520,-0.0230000,0.0000000,-0.1800356,0.5997841
16.8491360,-0.0310000,0.0000000,-0.1400308,1.0004481
16.8991340,-0.0370000,0.0000000,-0.0800032,1.1003751
16.9491220,-0.0390000,0.0000000,-0.0300067,0.9001220
16.9991150,-0.0400000,0.0000000,0.0099909,1.0001320
17.0491230,-0.0380000,0.0000000,0.0700135,1.1004302
17.0991120,-0.0330000,0.0000000,0.1200344,0.9004902
17.1490960,-0.0260000,0.0000000,0.1600392,0.5999620
17.1990860,-0.0170000,0.0000000,0.1800126,0.1996559
17.2490890,-0.0080000,0.0000000,0.1799982,-0.0998419
17.2990870,0.0010000,0.0000000,0.1700293,-0.2997409
17.3490700,0.0090000,0.0000000,0.1500328,-0.4921173
17.3990670,0.0160000,0.0000000,0.1208248,-0.8000588
17.4480770,0.0210000,0.0000000,0.0712433,-1.1159535
17.4990680,0.0230000,0.0000000,0.0088068,-1.1001786
17.5480550,0.0220000,0.0000000,-0.0392387,-0.9851845
17.5990460,0.0190000,0.0000000,-0.0897080,-0.8822422
17.6490520,0.0130000,0.0000000,-0.1285523,-0.7068467
17.7000400,0.0060000,0.0000000,-0.1609565,-0.4260377
17.7490330,-0.0030000,0.0000000,-0.1719675,0.0047736
17.7990350,-0.0110000,0.0000000,-0.1600160,0.1028483
17.8490230,-0.0190000,0.0000000,-0.1616799,0.1975341
17.8980160,-0.0270000,0.0000000,-0.1409186,0.8163714
17.9490240,-0.0330000,0.0000000,-0.0784271,0.9945181
17.9990130,-0.0350000,0.0000000,-0.0400100,0.8844504
18.0489990,-0.0370000,0.0000000,0.0099951,1.1003161
18.0989920,-0.0340000,0.0000000,0.0699999,0.8002431
18.1489960,-0.0300000,0.0000000,0.0900082,0.6003531
18.1989860,-0.0250000,0.0000000,0.1300260,0.6847022
18.2489760,-0.0170000,0.0000000,0.1584647,0.2023676
18.2999750,-0.0090000,0.0000000,0.1497158,-0.0670421
18.3489790,-0.0020000,0.0000000,0.1513515,-0.1942812
18.3989700,0.0060000,0.0000000,0.1300290,-0.5134121
18.4489530,0.0110000,0.0000000,0.1000250,-0.6003521
18.4989450,0.0160000,0.0000000,0.0700088,-0.8022657
18.5489610,0.0180000,0.0000000,0.0197823,-0.9981261
18.5979310,0.0180000,0.0000000,-0.0288043,-0.8886045
18.6489430,0.0150000,0.0000000,-0.0686303,-0.7068997
18.6999330,0.0110000,0.0000000,-0.1009127,-0.6406766
18.7489150,0.0050000,0.0000000,-0.1326503,-0.4982054
